Release, File, Size, LocTouched, LocAdded, MaxLocAdded, AvgLocAdded, Nauth, Nfix, Nr, ChgSetSize, Buggy
1,src/java/org/apache/avro/AvroRuntimeException.java,11,77,53,24,0,[Douglass Cutting],0,6,223,No
1,src/java/org/apache/avro/AvroTypeException.java,11,91,60,28,0,[Douglass Cutting],0,6,245,No
1,src/java/org/apache/avro/Protocol.java,357,1184,786,300,0,[Douglass Cutting],0,19,342,No
1,src/java/org/apache/avro/Schema.java,879,2719,1816,451,0,[Douglass Cutting, Thiruvalluvan M. G],0,33,393,No
1,src/java/org/apache/avro/SchemaParseException.java,8,74,50,24,0,[Douglass Cutting],0,5,216,No
1,src/java/org/apache/avro/file/DataFileReader.java,130,921,535,208,0,[Douglass Cutting],0,11,312,No
1,src/java/org/apache/avro/file/DataFileWriter.java,214,878,558,183,0,[Douglass Cutting],0,12,296,No
1,src/java/org/apache/avro/file/SeekableFileInput.java,19,103,70,32,0,[Douglass Cutting],0,5,217,No
1,src/java/org/apache/avro/file/SeekableInput.java,19,119,78,36,0,[Douglass Cutting],0,5,221,No
1,src/java/org/apache/avro/generic/GenericArray.java,19,115,76,37,0,[Douglass Cutting],0,6,260,No
1,src/java/org/apache/avro/generic/GenericData.java,472,1155,822,250,0,[Douglass Cutting],0,20,371,No
1,src/java/org/apache/avro/generic/GenericDatumReader.java,458,1846,1161,265,0,[Douglass Cutting],0,25,405,No
1,src/java/org/apache/avro/generic/GenericDatumWriter.java,180,820,509,164,0,[Douglass Cutting],0,15,320,No
1,src/java/org/apache/avro/generic/GenericRecord.java,13,108,69,28,0,[Douglass Cutting],0,6,242,No
1,src/java/org/apache/avro/generic/GenericRequestor.java,38,210,133,57,0,[Douglass Cutting],0,9,314,No
1,src/java/org/apache/avro/generic/GenericResponder.java,37,195,125,53,0,[Douglass Cutting],0,7,267,No
1,src/java/org/apache/avro/io/DatumReader.java,19,124,81,39,0,[Douglass Cutting],0,5,198,No
1,src/java/org/apache/avro/io/DatumWriter.java,17,116,76,36,0,[Douglass Cutting],0,6,258,No
1,src/java/org/apache/avro/io/ValueReader.java,436,905,688,418,0,[Douglass Cutting],0,5,173,No
1,src/java/org/apache/avro/io/ValueWriter.java,387,710,565,383,0,[Douglass Cutting],0,4,171,No
1,src/java/org/apache/avro/ipc/AvroRemoteException.java,23,137,89,44,0,[Douglass Cutting],0,5,238,No
1,src/java/org/apache/avro/ipc/ByteBufferInputStream.java,69,261,174,69,0,[Douglass Cutting],0,7,234,No
1,src/java/org/apache/avro/ipc/ByteBufferOutputStream.java,73,273,182,87,0,[Douglass Cutting],0,5,231,No
1,src/java/org/apache/avro/ipc/ByteBufferValueReader.java,1,164,82,41,0,[Douglass Cutting],0,5,172,No
1,src/java/org/apache/avro/ipc/ByteBufferValueWriter.java,1,176,88,44,0,[Douglass Cutting],0,5,172,No
1,src/java/org/apache/avro/ipc/Requestor.java,212,586,408,105,0,[Douglass Cutting],0,14,351,No
1,src/java/org/apache/avro/ipc/Responder.java,193,615,413,124,0,[Douglass Cutting],0,16,338,No
1,src/java/org/apache/avro/ipc/SocketServer.java,93,421,266,118,0,[Douglass Cutting],0,8,263,No
1,src/java/org/apache/avro/ipc/SocketTransceiver.java,80,292,195,87,0,[Douglass Cutting],0,7,239,No
1,src/java/org/apache/avro/ipc/Transceiver.java,26,130,87,40,0,[Douglass Cutting],0,6,229,No
